Patroling Sections:
[55.704741, -385.186179,0] -> [455.704741, 14.813821,0] -> 
[55.704741, -485.186179,0] -> [555.704741, 14.813821,0] -> 
[55.704741, -585.186179,0] -> [655.704741, 14.813821,0] -> 
[55.704741, -685.186179,0] -> [755.704741, 14.813821,0] -> 
[55.704741, -785.186179,0] -> [855.704741, 14.813821,0] -> 
[55.704741, -885.186179,0] -> [955.704741, 14.813821,0] -> 
[55.704741, -985.186179,0] -> [1055.704741, 14.813821,0] -> 
[1055.704741, 14.813821,0] -> [55.704741, -985.186179,0] -> 
[955.704741, 14.813821,0] -> [55.704741, -885.186179,0] -> 
[855.704741, 14.813821,0] -> [55.704741, -785.186179,0] -> 
[755.704741, 14.813821,0] -> [55.704741, -685.186179,0] -> 
[655.704741, 14.813821,0] -> [55.704741, -585.186179,0] -> 
[555.704741, 14.813821,0] -> [55.704741, -485.186179,0] -> 
[455.704741, 14.813821,0] -> [55.704741, -385.186179,0] -> 
 End 

0: 455.704741, 14.813821, 0 {225, 0} -> 55.704741, -385.186179, 0
71: 355.083446037154, -85.807473962845, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
72: 365.145575533439, -75.745344466560, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
73: 375.207705029723, -65.683214970276, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
74: 385.269834526008, -55.621085473991, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
75: 395.331964022292, -45.558955977707, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
76: 405.394093518577, -35.496826481422, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
77: 415.456223014862, -25.434696985138, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
78: 425.518352511146, -15.372567488853, 0.000000000000 {45.000000000000, 45.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
79: 425.518352511146, -15.372567488853, 0.000000000000 {11.874451000000, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
80: 425.518352511146, -15.372567488853, 0.000000000000 {45.000000000000, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
81: 425.518352511146, -15.372567488853, 0.000000000000 {78.125549000000, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
82: 425.518352511146, -15.372567488853, 0.000000000000 {111.251098000000, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
83: 425.518352511146, -15.372567488853, 0.000000000000 {144.376647000000, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
84: 425.518352511146, -15.372567488853, 0.000000000000 {177.502196000000, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
85: 425.518352511146, -15.372567488853, 0.000000000000 {210.627745000000, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
86: 423.715370628359, -17.663087370963, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
87: 418.306424979999, -24.534647017294, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
